Sex;Age;Region;Fstat;Children;Ed;Emp;Years;Group;Comp;Market;Sphere;Interview;DigitalTech;Vid;Chat;Lk;Social1;Social2;Social3;AI;VR;AdvVR;AdvDig;DisadvDig;Level
Мужской;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);До 1 года;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Чат-боты/ Социальные сети;Затрудняюсь ответить;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат вполне устраивает;1;Затрудняюсь ответить;Положительно;Положительно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Замедляют процесс трудоустройства;3
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Специалист;Российская компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;IT;Более 4-х лет назад;Сервис для видеоинтервью/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ не вижу в них пользы для соискателя;Затрудняюсь ответить;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;Telegram;Положительно;Отрицательно;Нет;Не вижу практической пользы/ думаю/ они используются только для улучшения бренда работодателя/ Затрудняюсь ответить;Ускоряют процесс подбора;Слишком сложны в использовании;3
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Магистратура;Работаю в компании (полная занятость);До 1 года;Представитель HR-функции;Международная компания (численность сотрудников в России свыше 500 чел.);Телекоммуникации / Связь;Управление персоналом;Более 4-х лет назад;Сервисы для онлайн-оценки навыков и компетенций;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;5;Facebook/ Instagram/ Telegram/ ВКонтакте;Положительно;Нейтрально;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Зачастую нет адаптации на русский язык;2
Женский;18–24;Москва и МО;Не женат/ не замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Стажер/ассистент;Российская компания (численность сотрудников в России свыше 500 чел.);Финансовый сектор (банки/ страховые и инвестиционные компании);Управление персоналом;От 1 года до 2 лет назад;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;3;Facebook/ Telegram/ ВКонтакте;Нейтрально;Нейтрально;Нет;Затрудняюсь ответить;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Слишком сложны в использовании;3
Женский;18–24;Москва и МО;Не женат/ не замужем;1 ребенок;Бакалавриат;Совмещаю работу в офисе и собственные проекты;От 3-х лет до 5-ти лет;Представитель HR-функции;Международная компания (численность сотрудников в России свыше 500 чел.);Энергетика;Управление персоналом;В последние 2 месяца;Никакими;Занимают много времени/ не вижу в них пользы для соискателя;Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями;2;Не пользуюсь социальными сетями для поиска работы;Отрицательно;Отрицательно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя;Никак не влияют на скорость трудоустройства;4
Женский;18–24;Москва и МО;Не женат/ не замужем;1 ребенок;Магистратура;Работаю в компании (полная занятость);От 1 года до 3-х лет;Специалист;Международная компания (численность сотрудников в России свыше 500 чел.);Информационные технологии;Маркетинг / PR / Реклама/ Digital;Меньше года назад/ но более 2-месяцев назад;Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя);Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании/ Такой формат вполне устраивает;1;Не пользуюсь социальными сетями для поиска работы;Нейтрально;Нейтрально;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Слишком сложны в использовании;3
Женский;32–38;Москва и МО;Женат/замужем;Нет детей;Специалитет;Работаю в компании (неполная занятость);От 5-ти лет до 7-ми лет;Руководитель отдела/подразделения;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;Меньше года назад/ но более 2-месяцев назад;Сервис для видеоинтервью/ Сервисы для онлайн-оценки навыков и компетенций;Это быстро и удобно/ помогает избежать лишних интервью с рекрутером;Затрудняюсь ответить;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;LinkedIn;Положительно;Положительно;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Делают процесс подбора более увлекательным;Слишком сложны в использовании/ Зачастую нет адаптации на русский язык;2
Женский;32–38;Москва и МО;Не женат/ не замужем;3-е детей;Специалитет;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Руководитель отдела/подразделения;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;От 2-х лет до 4-х лет назад;Сервис для видеоинтервью/ Чат-боты/ Социальные сети;Занимают много времени/ не вижу в них пользы для соискателя;Наблюдаю много ошибок и неточностей в работе чат-бота;Такой формат вполне устраивает;4;LinkedIn;Нейтрально;Отрицательно;Нет;Затрудняюсь ответить;Делают процесс подбора более увлекательным;Никак не влияют на скорость трудоустройства;3
Женский;25–31;Москва и МО;Женат/замужем;2-е детей;Специалитет;Работаю в компании (полная занятость);От 3-х лет до 5-ти лет;Руководитель отдела/подразделения;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;От 1 года до 2 лет назад;Социальные сети/ Сервисы для онлайн-оценки навыков и компетенций;Занимают много времени/ но польза их очевидна (не нужно проходить интервью с рекрутером);Это быстро и удобно/ помогает избежать лишней коммуникации с рекрутером;Такой формат занимает много времени/ легче отправить резюме через e-mail или сервис с вакансиями/ Неудобный интерфейс/ удобнее отправить резюме через e-mail или сервис с вакансиями/ Если компания предлагает только такой формат подачи отклика/ я отказываюсь от отправки резюме;4;Facebook/ LinkedIn;Положительно;Отрицательно;Нет;Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Замедляют процесс трудоустройства/ Слишком сложны в использовании/ Зачастую нет адаптации на русский язык;3
Женский;25–31;Москва и МО;Женат/замужем;Нет детей;Бакалавриат;Работаю в компании (полная занятость);От 5-ти лет до 7-ми лет;Специалист;Международная компания (численность сотрудников в России от 100 до 500 чел.);Консалтинг;Управление персоналом;От 1 года до 2 лет назад;Сервис для видеоинтервью/ Чат-боты/ Подача отклика (резюме) через автоматизированные системы (личный кабинет соискателя)/ Социальные сети;Занимают много времени/ не вижу в них пользы для соискателя;Это ненужный инструмент в процессе трудоустройства/ все вопросы легче уточнять у рекрутера;Такой формат позволяет быть уверенным в том/ что резюме точно будет в базе кандидатов компании;3;LinkedIn;Положительно;Нейтрально;Нет;Позволяют увлекательно пройти оценку в компании при процессе подбора/ Позволяют заранее посмотреть/ как устроен рабочий день компании и процессы;Ускоряют процесс подбора/ Положительно влияют на бренд работодателя/ Делают процесс подбора более увлекательным;Замедляют процесс трудоустройства;2
